Instructor,Course,Quarter,Total Enrolled in Course,Total CAPEs Given,Percentage Recommended Class,Percentage Recommended Professor,Study Hours per Week,Average Grade Expected,Average Grade Received,Evalulation URL
Hayes Sherry Lorine,MGT 173 - Project Mgt- Health Services (A),FA20,88,83,97.6%,98.8%,5.39,A- (3.84),A- (3.92),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=016637
McKay Michael J,MGT 18 - Managing Diverse Teams (A),FA20,83,41,84.6%,87.2%,3.78,A- (3.82),B+ (3.34),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=016604
McKay Michael J,MGT 18 - Managing Diverse Teams (B),FA20,83,39,97.2%,100.0%,4.07,A- (3.71),B (3.28),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=016605
McKay Michael J,MGT 18 - Managing Diverse Teams (C),FA20,82,32,90.6%,100.0%,3.63,A- (3.70),B (3.24),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=016606
McKay Mary A,MGT 18 - Managing Diverse Teams (D),FA20,76,36,90.6%,96.9%,4.56,B+ (3.58),B (3.04),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=016607
McKay Mary A,MGT 18 - Managing Diverse Teams (E),FA20,82,40,87.2%,92.3%,4.39,B+ (3.67),B (3.19),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=016608
Buchanan Harold G,MGT 181 - Enterprise Finance (A),FA20,110,106,86.8%,92.5%,5.63,B (3.17),B- (2.70),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=016638
Buchanan Harold G,MGT 181 - Enterprise Finance (B),FA20,96,92,89.1%,93.5%,6.26,B (3.24),B- (2.81),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=016639
Bliss Barbara Ann,MGT 181 - Enterprise Finance (C),FA20,110,98,98.0%,100.0%,5.85,B+ (3.64),B+ (3.44),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=016640
Buchanan Harold G,MGT 183 - Financial Investments (A),FA20,77,75,85.3%,92.0%,6.34,B+ (3.58),B+ (3.38),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=024471
Dunn Louis Jean,MGT 185 - Investment Banking (A),FA20,21,3,100.0%,100.0%,5.83,B (3.00),B+ (3.52),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=016641
Dunn Louis Jean,MGT 187 - New Venture Finance (A),FA20,82,27,100.0%,96.2%,4.42,B+ (3.69),B+ (3.47),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=016642
Wagner Timothy Ryan,MGT 3 - Quant Methods in Business (A),FA20,76,25,100.0%,100.0%,4.95,B+ (3.67),B+ (3.37),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=016596
Levkoff Steven B.,MGT 4 - Financial Accounting (A),FA20,10,3,100.0%,100.0%,3.5,C+ (2.50),,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=021942
Pecore Joseph P.,MGT 45 - Principles of Accounting (A),FA20,95,88,89.8%,95.5%,6.02,B (3.16),B (3.02),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=016609
Pecore Joseph P.,MGT 45 - Principles of Accounting (B),FA20,103,92,88.0%,95.7%,6.46,B (3.27),B (3.14),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=016610
Houskeeper Robert,MGT 5 - Managerial Accounting (A),FA20,155,110,94.5%,92.7%,5.01,B+ (3.54),B+ (3.34),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=016597
Deal Jennifer Jean,MGT 52 - Test & Measurement at Work (A),FA20,54,48,81.3%,91.7%,3.75,B+ (3.67),B+ (3.57),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=024461
Ehrich Kristine R,MGT 103 - Product Marketing & Management (A),S220,80,73,90.4%,95.9%,5.92,B+ (3.55),B (3.25),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=012414
Ehrich Kristine R,MGT 112 - Global Business Strategy (A),S220,72,64,89.1%,85.9%,7.25,B+ (3.58),B+ (3.36),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=012415
Baltes Guido H,MGT 119 - Topics in Business (A),S220,44,34,88.2%,91.2%,5.97,B+ (3.48),B+ (3.43),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=012416
Lindenberger Wade Douglas,MGT 12 - Personal Financial Management (A),S220,87,68,100.0%,100.0%,4.15,A- (3.83),A- (3.73),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=014116
Maki Kanetaka,MGT 121A - Innovation to Market A (A),S220,59,29,89.3%,82.1%,7.07,B+ (3.68),B+ (3.44),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=012417
Anderson John Charles,MGT 131B - Intermediate Accounting B (A),S220,80,69,91.3%,88.2%,6.93,B (3.27),B (3.12),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=012418
Lindenberger Wade Douglas,MGT 136 - Advanced Accounting (A),S220,48,45,97.8%,93.3%,7.97,A- (3.73),A- (3.75),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=012419
McKay Mary A,MGT 164 - Business and Org Leadership (A),S220,67,27,80.0%,84.0%,7.78,B (3.29),B (3.05),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=017244
Chamberlain Travis Dean,MGT 18 - Managing Diverse Teams (A),S220,47,32,96.9%,96.9%,5.88,A- (3.86),B+ (3.53),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=014117
McKay Mary A,MGT 18 - Managing Diverse Teams (B),S220,30,9,87.5%,87.5%,4.75,A (4.00),B- (2.97),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=017245
Anderson John Charles,MGT 4 - Financial Accounting (A),S220,46,40,92.5%,95.0%,7.45,B+ (3.46),B (3.27),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=014115
Pecore Joseph P.,MGT 45 - Principles of Accounting (A),S220,63,48,93.8%,97.9%,7.92,B+ (3.43),B+ (3.43),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=012413
Eberhard Craig A,MGT 103 - Product Marketing & Management (A),S120,82,76,90.8%,89.5%,5.13,B+ (3.50),B (3.01),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=012055
Henderson Austin Mcmaster,MGT 112 - Global Business Strategy (A),S120,68,45,88.6%,93.2%,6.45,B+ (3.59),B+ (3.63),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=014204
Houskeeper Robert,MGT 131A - Intermediate Accounting A (A),S120,75,63,90.5%,93.7%,5.42,B (3.23),C+ (2.69),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=012056
Anderson John Charles,MGT 132 - Auditing (A),S120,36,35,94.3%,94.3%,6.44,B+ (3.49),B (3.27),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=012057
Anderson John Charles,MGT 135 - Federal Taxation-Companies (A),S120,35,30,96.7%,96.7%,6.37,B+ (3.53),B (3.22),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=012058
McKay Michael J,MGT 16 - Personal Ethics at Work (A),S120,62,19,94.7%,94.1%,5.13,B+ (3.58),B+ (3.40),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=012053
McKay Mary A,MGT 164 - Business and Org Leadership (A),S120,70,26,88.0%,92.0%,7.7,B+ (3.56),B- (2.99),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=012059
Moran Cathleen L.,MGT 166 - Corp Social Responsibility (A),S120,58,49,79.6%,83.7%,7.44,B (3.25),B (3.02),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=016995
Hedges Kathleen,MGT 172 - Business Project Management (A),S120,85,33,100.0%,100.0%,7.43,A- (3.83),A- (3.83),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=012060
McKay Michael J,MGT 18 - Managing Diverse Teams (A),S120,57,15,92.9%,100.0%,4.64,B+ (3.67),B (3.30),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=012054
Dunn Louis Jean,MGT 181 - Enterprise Finance (A),S120,73,22,90.9%,95.5%,6.95,B+ (3.62),A- (3.72),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=017243
Houskeeper Robert,MGT 5 - Managerial Accounting (A),S120,95,57,94.7%,91.2%,5.9,B+ (3.58),B+ (3.35),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=012052
Eberhard Craig A,MGT 103 - Product Marketing & Management (A),SP20,16,13,84.6%,84.6%,2.96,A- (3.70),,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=004061
Eberhard Craig A,MGT 103 - Product Marketing & Management (B),SP20,27,23,82.6%,87.0%,3.54,B (3.16),B+ (3.40),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=004062
Eberhard Craig A,MGT 103 - Product Marketing & Management (C),SP20,73,66,89.4%,87.9%,3.23,B+ (3.64),B+ (3.64),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=004063
Ehrich Kristine R,MGT 103 - Product Marketing & Management (D),SP20,75,65,100.0%,93.8%,4.34,B+ (3.47),B+ (3.37),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=004064
Ehrich Kristine R,MGT 103 - Product Marketing & Management (E),SP20,76,71,93.0%,93.0%,4.07,B+ (3.57),B+ (3.47),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=004065
Ehrich Kristine R,MGT 103 - Product Marketing & Management (F),SP20,72,65,100.0%,96.9%,4.38,B+ (3.59),B+ (3.61),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=004066
Demill Burritt,MGT 103 - Product Marketing & Management (G),SP20,83,76,97.4%,98.7%,4.53,B+ (3.53),B+ (3.63),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=004067
Bates Kenneth Walter,MGT 103 - Product Marketing & Management (H),SP20,26,18,94.4%,83.3%,4.5,B+ (3.40),B (3.29),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=004068
Bates Kenneth Walter,MGT 103 - Product Marketing & Management (I),SP20,36,31,100.0%,100.0%,3.79,A- (3.76),A- (3.84),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=004069
Campbell Robert Harold,MGT 105 - Product Promotion & Brand Mgt (A),SP20,118,90,93.3%,95.6%,3.83,B+ (3.62),B+ (3.44),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=004070
Gershon Rachel M,MGT 107 - Consumer Behavior (A),SP20,103,42,100.0%,100.0%,4.55,A- (3.83),A- (3.96),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=010273
Wilbur Kenneth C,MGT 109 - Topics in Marketing (A),SP20,28,14,100.0%,100.0%,7.58,A- (3.73),A (4.00),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=010274
Fuller Robert L.,MGT 112 - Global Business Strategy (A),SP20,79,34,88.2%,85.3%,6.03,B+ (3.70),A- (3.73),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=004071
Fuller Robert L.,MGT 112 - Global Business Strategy (B),SP20,74,34,84.8%,87.9%,7.56,B+ (3.64),A- (3.84),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=004072
Somasundaram Tyagarajan,MGT 112 - Global Business Strategy (C),SP20,37,16,93.3%,86.7%,6.63,A- (3.80),A- (3.84),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=004073
Somasundaram Tyagarajan,MGT 112 - Global Business Strategy (D),SP20,17,3,66.7%,66.7%,7.17,A (4.00),,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=004074
Zimmermann Carsten,MGT 112 - Global Business Strategy (E),SP20,79,63,93.7%,93.7%,4.25,B+ (3.68),B+ (3.62),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=004075
Kim Nancy Sun Kyung,MGT 117 - Business Law (A),SP20,71,59,100.0%,98.3%,4.81,B+ (3.61),B+ (3.52),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=010275
Davis Kathleen Ann,MGT 119 - Topics in Business (A),SP20,47,20,89.5%,89.5%,3.97,A (4.00),A- (3.98),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=010276
Moran Cathleen L.,MGT 119 - Topics in Business (B),SP20,18,14,92.3%,100.0%,5.58,A- (3.75),,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=010277
Pecore Joseph P.,MGT 12 - Personal Financial Management (A),SP20,107,45,86.0%,85.4%,3.18,B+ (3.45),B+ (3.53),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=004042
Pecore Joseph P.,MGT 12 - Personal Financial Management (B),SP20,111,44,90.7%,75.6%,3.07,A- (3.75),B+ (3.44),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=004043
Lindenberger Wade Douglas,MGT 12 - Personal Financial Management (C),SP20,100,84,100.0%,100.0%,3.21,A- (3.81),A- (3.87),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=004044
Klaas Jeffrey David,MGT 121A - Innovation to Market A (A),SP20,74,60,86.7%,90.0%,6.0,B+ (3.55),B+ (3.69),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=004076
Krishnan Viswanathan,MGT 128R - Business Innovation & Growth (A),SP20,80,56,87.5%,92.9%,5.37,B+ (3.46),B+ (3.60),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=010278
Houskeeper Robert,MGT 131A - Intermediate Accounting A (A),SP20,62,27,92.6%,88.9%,5.46,B+ (3.50),B+ (3.54),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=004077
Houskeeper Robert,MGT 131B - Intermediate Accounting B (A),SP20,77,35,94.1%,91.2%,4.91,B+ (3.67),B+ (3.56),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=004078
Blakley Bruce,MGT 132 - Auditing (A),SP20,63,30,96.6%,96.6%,4.71,B+ (3.48),A- (3.90),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=004079
Pecore Joseph P.,MGT 133 - Advanced Cost Accounting (A),SP20,38,15,66.7%,60.0%,6.77,B+ (3.44),B+ (3.50),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=004080
Lindenberger Wade Douglas,MGT 136 - Advanced Accounting (A),SP20,74,68,98.5%,100.0%,5.37,B+ (3.67),A- (3.96),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=004081
Anderson John Charles,MGT 147 - Not-for-profit & Govt Acct (A),SP20,42,30,93.3%,93.3%,5.63,B+ (3.57),B+ (3.60),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=004082
Perols Johan Lars,MGT 153 - Business Analytics (A),SP20,73,16,87.5%,93.8%,7.13,A- (3.70),B+ (3.58),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=004083
Bliss Barbara Ann,MGT 158 - Real Estate & the Tech Sector (A),SP20,38,31,93.5%,93.5%,5.15,B+ (3.63),A- (3.76),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=010267
Campbell Robert Harold,MGT 16 - Personal Ethics at Work (A),SP20,99,82,98.8%,100.0%,4.03,A- (3.76),B+ (3.55),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=004045
Campbell Robert Harold,MGT 16 - Personal Ethics at Work (B),SP20,81,67,98.5%,92.5%,3.84,A- (3.77),A- (3.70),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=004046
Lindenberger Wade Douglas,MGT 16 - Personal Ethics at Work (C),SP20,97,83,100.0%,100.0%,3.5,A- (3.84),A- (3.85),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=004047
Buchanan Harold G,MGT 16 - Personal Ethics at Work (D),SP20,42,37,97.3%,100.0%,3.09,A- (3.76),B+ (3.52),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=004048
McKay Mary A,MGT 164 - Business and Org Leadership (A),SP20,43,20,89.5%,94.7%,5.45,B+ (3.67),B+ (3.62),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=004084
McKay Mary A,MGT 164 - Business and Org Leadership (B),SP20,74,27,100.0%,100.0%,5.27,B+ (3.59),B (3.28),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=004085
Zimmermann Carsten,MGT 164 - Business and Org Leadership (C),SP20,85,74,97.3%,94.6%,4.53,A- (3.81),A- (3.70),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=004086
Meyer Alison Bloomfield,MGT 164 - Business and Org Leadership (D),SP20,85,71,97.2%,91.5%,5.06,A- (3.89),A- (3.81),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=010279
Moran Cathleen L.,MGT 166 - Corp Social Responsibility (A),SP20,76,33,75.0%,62.5%,5.38,B (3.29),B+ (3.48),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=004087
Moran Cathleen L.,MGT 166 - Corp Social Responsibility (B),SP20,46,20,90.0%,85.0%,4.5,B+ (3.40),B+ (3.42),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=004088
Demill Burritt,MGT 166 - Corp Social Responsibility (C),SP20,89,80,94.9%,97.5%,6.53,B+ (3.66),A- (3.70),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=004089
Shaffer Lisa Robock,MGT 166 - Corp Social Responsibility (D),SP20,30,18,94.4%,94.4%,3.39,A- (3.88),A- (3.89),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=004090
Jacob Jo Dee C,MGT 167 - Social Entrepreneurship (A),SP20,76,45,97.7%,97.7%,3.55,A- (3.70),B+ (3.53),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=004091
Hedges Kathleen,MGT 172 - Business Project Management (A),SP20,102,82,91.5%,91.5%,5.33,B+ (3.68),B+ (3.67),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=004092
Royal Rebecca,MGT 172 - Business Project Management (A),SP20,102,82,91.5%,92.7%,5.33,B+ (3.68),B+ (3.67),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=004092A
Hedges Kathleen,MGT 172 - Business Project Management (B),SP20,87,71,97.2%,94.4%,4.92,A- (3.81),A- (3.73),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=004093
Moghadas Khorasani Sina,MGT 172 - Business Project Management (C),SP20,47,46,95.7%,97.8%,4.72,A- (3.71),A- (3.79),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=010280
Moghadas Khorasani Sina,MGT 172 - Business Project Management (D),SP20,17,16,93.8%,100.0%,4.25,B+ (3.57),,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=010281
Fuller Robert L.,MGT 173 - Project Mgt- Health Services (A),SP20,92,47,87.2%,87.2%,5.22,A- (3.78),A- (3.78),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=004094
Gopal Christopher S.,MGT 175 - Supply Chain Management (A),SP20,61,24,91.3%,91.3%,3.98,A- (3.75),B+ (3.66),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=004095
McKay Michael J,MGT 18 - Managing Diverse Teams (A),SP20,40,17,100.0%,100.0%,4.5,B+ (3.67),B+ (3.41),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=004049
McKay Michael J,MGT 18 - Managing Diverse Teams (B),SP20,67,21,85.0%,100.0%,4.31,A- (3.72),B+ (3.38),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=004050
McKay Michael J,MGT 18 - Managing Diverse Teams (C),SP20,74,31,87.1%,96.8%,3.85,B+ (3.68),B+ (3.54),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=004051
McKay Mary A,MGT 18 - Managing Diverse Teams (D),SP20,70,24,91.3%,91.3%,5.08,A- (3.88),B+ (3.62),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=004054
Chamberlain Travis Dean,MGT 18 - Managing Diverse Teams (E),SP20,46,42,97.6%,100.0%,4.4,A- (3.84),A- (3.77),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=010268
Buchanan Harold G,MGT 181 - Enterprise Finance (A),SP20,119,108,93.5%,99.1%,5.1,B+ (3.49),B+ (3.59),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=004096
Buchanan Harold G,MGT 181 - Enterprise Finance (B),SP20,117,112,98.2%,96.4%,4.38,B+ (3.58),B+ (3.64),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=004097
Dunn Louis Jean,MGT 185 - Investment Banking (A),SP20,74,25,80.0%,76.0%,10.34,A- (3.83),B+ (3.63),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=004099
Dunn Louis Jean,MGT 187 - New Venture Finance (A),SP20,96,37,94.4%,91.7%,5.44,A- (3.85),B+ (3.61),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=004100
Wagner Timothy Ryan,MGT 3 - Quant Methods in Business (A),SP20,60,18,94.1%,100.0%,4.74,A- (3.70),A- (3.72),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=004037
Levkoff Steven B.,MGT 4 - Financial Accounting (A),SP20,10,4,100.0%,100.0%,5.5,C+ (2.67),,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=004039
Cheynel Edwige,MGT 45 - Principles of Accounting (A),SP20,188,78,98.7%,96.1%,4.32,A- (3.83),A- (3.93),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=010269
Houskeeper Robert,MGT 5 - Managerial Accounting (A),SP20,184,57,89.3%,71.4%,4.75,B+ (3.69),A- (3.82),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=004040
Deal Jennifer Jean,MGT 52 - Test & Measurement at Work (A),SP20,74,60,86.7%,95.0%,3.35,B+ (3.68),B+ (3.61),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=010272
Eberhard Craig A,MGT 103 - Product Marketing & Management (A),WI20,36,35,97.1%,94.3%,4.21,B+ (3.39),B (3.15),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=988870
Eberhard Craig A,MGT 103 - Product Marketing & Management (B),WI20,71,65,98.5%,96.9%,4.38,B+ (3.36),B (3.10),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=988871
Ehrich Kristine R,MGT 103 - Product Marketing & Management (C),WI20,71,67,95.5%,94.0%,4.65,B (3.23),B (3.29),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=988872
Ehrich Kristine R,MGT 103 - Product Marketing & Management (D),WI20,75,70,91.4%,90.0%,5.27,B (3.26),B+ (3.38),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=988873
Ehrich Kristine R,MGT 103 - Product Marketing & Management (E),WI20,75,69,95.7%,95.7%,4.5,B+ (3.31),B (3.20),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=988874
Demill Burritt,MGT 103 - Product Marketing & Management (F),WI20,76,75,98.7%,98.7%,3.99,B+ (3.42),B+ (3.67),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=999158
Bates Kenneth Walter,MGT 103 - Product Marketing & Management (G),WI20,72,66,84.8%,83.3%,4.62,B+ (3.42),B+ (3.33),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=999430
Bates Kenneth Walter,MGT 103 - Product Marketing & Management (H),WI20,52,43,97.7%,97.7%,4.78,B+ (3.44),B+ (3.35),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=999431
Campbell Robert Harold,MGT 105 - Product Promotion & Brand Mgt (A),WI20,116,108,95.4%,91.7%,3.8,B+ (3.62),B+ (3.36),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=988875
Eberhard Craig A,MGT 106 - Sales and Sales Management (A),WI20,73,65,98.5%,100.0%,2.68,B+ (3.69),B+ (3.51),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=988876
Gershon Rachel M,MGT 107 - Consumer Behavior (A),WI20,73,42,97.6%,100.0%,3.43,A- (3.75),B+ (3.62),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=999160
Fuller Robert L.,MGT 112 - Global Business Strategy (A),WI20,77,38,71.1%,67.6%,4.45,B+ (3.58),B+ (3.68),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=999161
Fuller Robert L.,MGT 112 - Global Business Strategy (B),WI20,42,19,84.2%,73.7%,6.29,A- (3.79),A- (3.74),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=999162
Somasundaram Tyagarajan,MGT 112 - Global Business Strategy (C),WI20,23,15,66.7%,86.7%,6.5,B+ (3.60),B+ (3.41),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=999163
Somasundaram Tyagarajan,MGT 112 - Global Business Strategy (D),WI20,24,19,57.9%,84.2%,5.13,B+ (3.42),B+ (3.57),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=999164
Zimmermann Carsten,MGT 112 - Global Business Strategy (E),WI20,79,69,85.5%,89.9%,4.65,B+ (3.51),B+ (3.61),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=999165
Pecore Joseph P.,MGT 12 - Personal Financial Management (A),WI20,112,96,97.9%,100.0%,2.33,B+ (3.63),B (3.27),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=988858
Pecore Joseph P.,MGT 12 - Personal Financial Management (B),WI20,103,92,92.4%,94.6%,2.72,B+ (3.53),B (3.14),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=988859
Zhu Kevin Xiaoguo,MGT 127 - Innovation and Tech Strategy (A),WI20,86,85,91.7%,94.0%,4.65,B+ (3.40),B+ (3.57),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=999166
Bertomeu Jeremy,MGT 131A - Intermediate Accounting A (A),WI20,91,37,94.4%,91.7%,5.89,B+ (3.31),B+ (3.52),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=999167
Houskeeper Robert,MGT 131B - Intermediate Accounting B (A),WI20,78,65,96.9%,95.4%,5.0,B+ (3.66),B+ (3.66),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=988877
Anderson John Charles,MGT 135 - Federal Taxation-Companies (A),WI20,67,39,86.5%,94.6%,4.83,B+ (3.44),B (3.24),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=988878
Lindenberger Wade Douglas,MGT 136 - Advanced Accounting (A),WI20,47,46,100.0%,100.0%,4.81,A- (3.71),B+ (3.64),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=999168
Lindenberger Wade Douglas,MGT 137 - Financial Statement Analysis (A),WI20,75,73,100.0%,100.0%,4.77,A- (3.87),A- (3.89),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=999169
Perols Johan Lars,MGT 139 - Accounting Information Systems (A),WI20,21,8,100.0%,100.0%,6.5,B+ (3.60),B (3.07),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=999170
Perols Johan Lars,MGT 153 - Business Analytics (A),WI20,47,21,100.0%,100.0%,8.4,B (3.06),B (3.15),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=999171
Phiroz Zal Navroze,MGT 153 - Business Analytics (B),WI20,56,29,89.3%,89.3%,5.0,B (3.29),A- (3.78),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=999172
Campbell Robert Harold,MGT 16 - Personal Ethics at Work (A),WI20,105,98,96.9%,91.8%,3.72,B+ (3.70),B+ (3.43),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=988860
Campbell Robert Harold,MGT 16 - Personal Ethics at Work (B),WI20,107,88,94.3%,94.1%,3.56,B+ (3.52),B (3.12),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=988861
Buchanan Harold G,MGT 16 - Personal Ethics at Work (C),WI20,45,43,93.0%,97.7%,2.59,B+ (3.51),B+ (3.53),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=988862
Buchanan Harold G,MGT 16 - Personal Ethics at Work (D),WI20,54,53,98.1%,100.0%,3.07,B+ (3.50),B+ (3.52),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=988863
Demill Burritt,MGT 162 - Negotiation (A),WI20,61,56,100.0%,100.0%,2.68,A- (3.83),A- (3.75),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=999173
McKay Mary A,MGT 164 - Business and Org Leadership (A),WI20,57,52,88.5%,92.3%,5.12,B (3.16),B- (2.94),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=988879
